time,P,G(i),H_sun,T2m,WS10m
20210323:0310,0,0,0,-3.17,2.97
20210323:0410,0,1,1.7,-3.62,2.76
20210323:0510,62.87,156,11.18,-3.31,2.62
20210323:0610,166.05,336.01,20.23,-2.09,3.03
20210323:0710,256.37,494.01,28.36,-0.08,3.03
20210323:0810,324.22,615.01,34.96,1.2,4.41
20210323:0910,357.58,677.01,39.25,1.89,4.9
20210323:1010,329.18,625.01,40.57,2.48,4.97
20210323:1110,84.54,174,38.65,2.97,4.97
20210323:1210,312.3,597.01,33.86,3.31,5.03
20210323:1310,207.2,404.01,26.92,3.36,5.24
20210323:1410,106.45,221,18.57,2.99,5.31
20210323:1510,20.91,55,9.41,2.02,4.9
20210323:1610,0,0,0,0.68,4.34
20210323:1710,0,0,0,0.02,4.69
20210323:1810,0,0,0,-0.39,4.97
20210323:1910,0,0,0,-0.95,4.48
20210323:2010,0,0,0,-1.03,4.41
20210323:2110,0,0,0,-1.46,4.21
20210323:2210,0,0,0,-1.79,4.07
20210323:2310,0,0,0,-2.08,4.07
20210324:0010,0,0,0,-2.37,4.14
20210324:0110,0,0,0,-2.3,4.34
20210324:0210,0,0,0,-2.49,4.41
20210324:0310,0,0,0,-2.71,4.34
20210324:0410,0,1,2.05,-2.68,4.28
20210324:0510,14.17,40,11.53,-2.25,3.86
20210324:0610,83.92,171,20.6,-1.35,4.55
20210324:0710,220.1,421.01,28.74,0.44,4.97
20210324:0810,319.06,605.01,35.35,1.92,4.97
20210324:0910,282.68,538.01,39.65,3.32,5.79
20210324:1010,314.86,601.01,40.96,4.21,5.59
20210324:1110,317.33,607.01,39.02,4.27,5.1
20210324:1210,277.21,533.01,34.19,4.34,4.83
20210324:1310,228.16,447.01,27.22,4.52,4.97
20210324:1410,103.97,217,18.84,4.35,4.41
20210324:1510,19.73,53,9.66,3.72,3.45
20210324:1610,0,0,0,2.69,2.9
20210324:1710,0,0,0,1.22,2.69
20210324:1810,0,0,0,0.4,2.76
20210324:1910,0,0,0,0.1,2.83
20210324:2010,0,0,0,-0.58,2.83
20210324:2110,0,0,0,-1.14,2.9
20210324:2210,0,0,0,-1.66,2.76
20210324:2310,0,0,0,-2.06,2.62
20210325:0010,0,0,0,-2.45,2.62
20210325:0110,0,0,0,-2.57,2.69
20210325:0210,0,0,0,-2.79,2.76
20210325:0310,0,0,0,-2.91,2.76
20210325:0410,0,2,2.41,-2.98,2.69
20210325:0510,63.46,149,11.89,-2.19,2.55
20210325:0610,167.09,337.01,20.96,-0.69,2.97
20210325:0710,255.34,494.01,29.13,1.92,3.45
20210325:0810,319.36,614.01,35.75,3.47,3.79
20210325:0910,358.21,691.01,40.06,4.85,4.14
20210325:1010,362.54,702.01,41.35,5.94,4.34
20210325:1110,347.66,676.01,39.38,6.68,4.21
20210325:1210,296.15,579.01,34.52,7.24,4.07
20210325:1310,240.97,480.01,27.52,7.47,4
20210325:1410,128.83,273,19.11,7.31,3.72
20210325:1510,47.59,130,9.92,6.76,2.76
20210325:1610,0,0,0,5.01,2.34
20210325:1710,0,0,0,3.14,2.48
20210325:1810,0,0,0,1.69,2.48
20210325:1910,0,0,0,0.86,2.21
20210325:2010,0,0,0,-0.64,2.28
20210325:2110,0,0,0,-1.5,2.28
20210325:2210,0,0,0,-1.92,2.28
20210325:2310,0,0,0,-2.14,2.28
20210326:0010,0,0,0,-2.26,2.28
20210326:0110,0,0,0,-2.32,2.34
20210326:0210,0,0,0,-2.31,2.41
20210326:0310,0,0,0,-2.32,2.41
20210326:0410,0,4,2.76,-2.36,2.41
20210326:0510,70.66,170,12.25,-1.05,2.21
20210326:0610,171.46,350.01,21.33,1.95,2.48
20210326:0710,254.38,499.01,29.5,4.28,2.76
20210326:0810,314.13,615.01,36.14,6.17,2.9
20210326:0910,353.3,696.01,40.46,7.87,3.17
20210326:1010,366.74,724.01,41.74,8.85,3.59
20210326:1110,349.36,690.01,39.75,9.35,3.72
20210326:1210,305.23,604.01,34.85,9.47,3.72
20210326:1310,231.44,465.01,27.81,9.32,3.72
20210326:1410,110.89,236,19.38,8.98,3.17
20210326:1510,32.13,82,10.18,8.2,2.62
20210326:1610,0,0,0,7.17,2.41
20210326:1710,0,0,0,6.04,2.34
20210326:1810,0,0,0,5.02,2.28
20210326:1910,0,0,0,5.17,2.28
20210326:2010,0,0,0,4.57,2.14
20210326:2110,0,0,0,4.12,2.14
20210326:2210,0,0,0,3.49,2.14
20210326:2310,0,0,0,3.05,2.14
20210327:0010,0,0,0,2.6,2.14
20210327:0110,0,0,0,1.81,2.14
20210327:0210,0,0,0,0.87,2.21
20210327:0310,0,0,0,0.05,2.14
20210327:0410,0,2,3.11,-0.4,2
20210327:0510,50.25,115,12.6,0.71,1.59
20210327:0610,151.51,311,21.69,4.12,1.66
20210327:0710,239.44,478.01,29.88,7.02,1.86
20210327:0810,301.08,602.01,36.53,8.87,1.86
20210327:0910,303.69,611.01,40.86,10.47,2
20210327:1010,340.98,685.01,42.13,11.51,2.83
20210327:1110,330.28,664.01,40.11,11.8,2.83
20210327:1210,299.84,605.01,35.17,12.08,2.69
20210327:1310,225.74,462.01,28.1,12.1,2.55
20210327:1410,142.88,312,19.65,11.83,2.07
20210327:1510,51.37,143,10.43,11.39,1.45
20210327:1610,0,0,0,9.9,1.66
20210327:1710,0,0,0,6.9,1.93
20210327:1810,0,0,0,4.46,2.14
20210327:1910,0,0,0,4.15,2.07
20210327:2010,0,0,0,2.57,2.14
20210327:2110,0,0,0,1.43,2.14
20210327:2210,0,0,0,0.95,2.28
20210327:2310,0,0,0,0.65,2.41
20210328:0010,0,0,0,0.23,2.34
20210328:0110,0,0,0,-0.27,2.21
20210328:0210,0,0,0,-0.69,1.93
20210328:0310,0,0,0,-0.83,1.72
20210328:0410,0,3,3.46,-1.14,1.66
20210328:0510,0,0,0,0.46,1.24
20210328:0610,147.94,305,22.06,5.09,1.03
20210328:0710,243.22,491.01,30.26,9.06,1.59
20210328:0810,303.14,610.01,36.93,11.32,2.41
20210328:0910,343.42,691.01,41.26,12.59,3.24
20210328:1010,356.93,719.01,42.52,13.34,3.66
20210328:1110,337.98,682.01,40.47,13.91,3.66
20210328:1210,291.79,591.01,35.5,14.24,3.45
20210328:1310,165.97,343,28.39,14.26,3.17
20210328:1410,18.08,51,19.92,13.99,2.83
20210328:1510,27.95,73,10.68,13.14,1.93
20210328:1610,0,0,0,11.52,2
20210328:1710,0,0,0,8.9,1.52
20210328:1810,0,0,0,7.86,0.76
20210328:1910,0,0,0,7.93,0.83
20210328:2010,0,0,0,6.71,0.83
20210328:2110,0,0,0,5.64,1.1
20210328:2210,0,0,0,4.21,2.21
20210328:2310,0,0,0,4.31,2.83
20210329:0010,0,0,0,4.03,2.83
20210329:0110,0,0,0,3.78,2.97
20210329:0210,0,0,0,3.5,3.1
20210329:0310,0,0,0,3.26,3.17
20210329:0410,0,3,3.82,3.18,3.24
20210329:0510,8.25,28,13.31,3.44,3.79
20210329:0610,27.56,68,22.42,4.03,3.93
20210329:0710,56.53,124,30.64,5.75,3.52
20210329:0810,115.06,235,37.32,7.24,3.1
20210329:0910,197.67,395,41.66,8.68,2.55
20210329:1010,259.84,519,42.91,9.51,2.34
20210329:1110,324.47,648.01,40.83,10.05,2.55
20210329:1210,272.04,542.01,35.82,10.25,3.03
20210329:1310,218.53,439.01,28.68,9.92,3.66
20210329:1410,144.26,307,20.18,9.15,3.52
20210329:1510,10.21,33,10.94,8.61,2.97
20210329:1610,0,0,0,7.97,2.21
20210329:1710,0,0,0,7.15,1.72
20210329:1810,0,0,0,6.46,1.52
20210329:1910,0,0,0,5.74,1.45
20210329:2010,0,0,0,5.45,1.24
20210329:2110,0,0,0,5.29,1.31
20210329:2210,0,0,0,5.17,1.52
20210329:2310,0,0,0,5.12,1.72
20210330:0010,0,0,0,4.93,1.72
20210330:0110,0,0,0,4.78,1.66
20210330:0210,0,0,0,4.68,1.66
20210330:0310,0,0,0,4.41,1.59
20210330:0410,0,3,4.17,3.67,1.38
20210330:0510,14.14,41,13.67,4.31,0.83
20210330:0610,61.38,134,22.78,6.13,1.03
20210330:0710,204.07,408,31.01,7.24,1.59
20210330:0810,311.14,621.01,37.71,8.81,2
20210330:0910,347.97,699.01,42.05,10.57,2.41
20210330:1010,364.22,737.01,43.3,11.36,2.28
20210330:1110,343.2,699.01,41.19,11.99,1.79
20210330:1210,298.78,610.01,36.14,12.19,1.45
20210330:1310,211.64,436.01,28.97,12.19,1.24
20210330:1410,119.43,257,20.45,12.04,1.52
20210330:1510,51.07,132,11.19,11.65,1.59
20210330:1610,0,0,0,10.12,2
20210330:1710,0,0,0,8.26,2.34
20210330:1810,0,0,0,7.11,2.76
20210330:1910,0,0,0,6.67,3.17
20210330:2010,0,0,0,6.03,3.45
20210330:2110,0,0,0,5.68,3.31
20210330:2210,0,0,0,5.63,3.31
20210330:2310,0,0,0,5.66,3.17
20210331:0010,0,0,0,5.42,2.97
20210331:0110,0,0,0,4.79,2.55
20210331:0210,0,0,0,4.09,2.62
20210331:0310,0,0,0,3.92,2.62
20210331:0410,0,4,4.52,3.93,2.69
20210331:0510,36.02,85,14.02,4.12,2.83
20210331:0610,37.76,88,23.14,4.65,2.83
20210331:0710,101.05,208,31.39,6.19,2.55
20210331:0810,133.93,271,38.1,7.42,2.76
20210331:0910,155.3,313,42.45,8.49,2.83
20210331:1010,97.61,204,43.68,9.05,2.76
20210331:1110,110.98,230,41.54,9.64,2.69
20210331:1210,152.04,309,36.46,10.11,2.62
20210331:1310,114.76,238,29.26,10.29,2.62
20210331:1410,37.74,90,20.71,10.26,2.48
20210331:1510,35.26,88,11.44,10.17,2.55
20210331:1610,0,1,1.91,9.56,2.76
20210331:1710,0,0,0,8.99,2.9
20210331:1810,0,0,0,8.83,3.03
20210331:1910,0,0,0,9.6,2.83
20210331:2010,0,0,0,9.37,2.83
20210331:2110,0,0,0,9.01,2.83
20210331:2210,0,0,0,8.86,2.76
20210331:2310,0,0,0,8.63,2.76
20210401:0010,0,0,0,8.32,2.76
20210401:0110,0,0,0,8.24,2.76
20210401:0210,0,0,0,8.1,2.83
20210401:0310,0,0,0,7.94,2.83
20210401:0410,0.59,8,4.86,7.79,2.9
20210401:0510,63.33,145,14.37,8.61,2.76
20210401:0610,158.09,327,23.5,9.82,2.9
20210401:0710,239.78,483.01,31.76,11.69,3.17
20210401:0810,290.56,587.01,38.49,13.86,3.31
20210401:0910,306.97,625.01,42.84,15.55,3.45
20210401:1010,345.24,707.01,44.07,16.79,3.59
20210401:1110,320.91,659.01,41.9,17.73,3.66
20210401:1210,277.07,571.01,36.78,18.2,3.52
20210401:1310,200.91,420.01,29.54,18.26,3.24
20210401:1410,131.5,289,20.97,18.24,3.03
20210401:1510,43.02,110,11.69,17.48,2.48
20210401:1610,0,3,2.16,15.4,2.76
20210401:1710,0,0,0,13.48,3.1
20210401:1810,0,0,0,12.61,3.38
20210401:1910,0,0,0,12.23,3.52
20210401:2010,0,0,0,11.59,3.72
20210401:2110,0,0,0,10.97,3.79
20210401:2210,0,0,0,10.45,3.79
20210401:2310,0,0,0,10.07,3.66
20210402:0010,0,0,0,9.65,3.66
20210402:0110,0,0,0,9.06,3.45
20210402:0210,0,0,0,8.35,3.17
20210402:0310,0,0,0,7.71,3.03
20210402:0410,0,5,5.21,7.29,2.69
20210402:0510,16.27,46,14.72,7.68,2.41
20210402:0610,27.88,70,23.86,8.74,2
20210402:0710,30.88,76,32.13,8.94,2.62
20210402:0810,35.47,85,38.87,9.05,3.93
20210402:0910,49.58,112,43.24,8.29,3.86
20210402:1010,133.51,270,44.45,7.9,3.93
20210402:1110,62.9,137,42.25,7.74,4.07
20210402:1210,64.56,140,37.09,7.61,4.48
20210402:1310,35.18,84,29.82,7.91,4.83
20210402:1410,31.06,76,21.23,8.11,4.55
20210402:1510,17.17,48,11.94,8.42,3.86
20210402:1610,0,1,2.4,7.89,2.9
20210402:1710,0,0,0,6.61,2.48
20210402:1810,0,0,0,5.36,2.62
20210402:1910,0,0,0,4.42,2.48
20210402:2010,0,0,0,3.69,2.69
20210402:2110,0,0,0,3.2,2.62
20210402:2210,0,0,0,2.68,2.41
20210402:2310,0,0,0,2.22,2.28
20210403:0010,0,0,0,1.86,2.21
20210403:0110,0,0,0,1.95,2
20210403:0210,0,0,0,2.04,1.72
20210403:0310,0,0,0,1.98,1.72
20210403:0410,0,5,5.56,1.85,1.79
20210403:0510,96.74,219,15.06,2.87,1.72
20210403:0610,193.88,391.01,24.22,4.27,2.07
20210403:0710,274.58,543.01,32.5,5.62,1.72
20210403:0810,287.72,570.01,39.26,7.21,1.93
20210403:0910,263.8,523,43.63,8.25,2.62
20210403:1010,333.86,663.01,44.83,9,2.9
20210403:1110,351.34,700.01,42.6,9.48,2.76
20210403:1210,321.58,641.01,37.41,9.61,2.69
20210403:1310,248.57,499.01,30.11,9.41,2.62
20210403:1410,152.26,320,21.49,9.15,2.34
20210403:1510,63.32,158,12.18,8.92,2
20210403:1610,0,2,2.65,8.13,1.24
20210403:1710,0,0,0,6.15,1.31
20210403:1810,0,0,0,6.15,0.76
20210403:1910,0,0,0,3.16,1.72
20210403:2010,0,0,0,2.93,1.52
20210403:2110,0,0,0,4.14,1.1
20210403:2210,0,0,0,3.88,0.83
20210403:2310,0,0,0,1.17,1.59
20210404:0010,0,0,0,-0.43,2
20210404:0110,0,0,0,-0.41,2.07
20210404:0210,0,0,0,-0.47,2.07
20210404:0310,0,0,0,-0.65,2.07
20210404:0410,0,5,5.9,-0.33,2
20210404:0510,36.1,84,15.41,1.57,1.86
20210404:0610,71.3,151,24.57,3.94,2.14
20210404:0710,171.72,342,32.87,5.92,1.79
20210404:0810,312.81,620.01,39.64,6.91,1.79
20210404:0910,64.7,141,44.02,7.9,1.86
20210404:1010,224.74,449,45.21,8.6,2.14
20210404:1110,330.16,658.01,42.95,9.07,2.41
20210404:1210,41.06,96,37.72,8.94,2.48
20210404:1310,213.79,428,30.38,8.79,2.55
20210404:1410,160.5,334,21.75,7.94,3.1
20210404:1510,52.57,125,12.43,7.48,2.76
20210404:1610,0.88,9,2.9,6.67,1.66
20210404:1710,0,0,0,5.43,1.79
20210404:1810,0,0,0,4.28,1.86
20210404:1910,0,0,0,2.84,2
20210404:2010,0,0,0,1.8,2.07
20210404:2110,0,0,0,1.04,2
20210404:2210,0,0,0,0.32,2.07
20210404:2310,0,0,0,-0.25,2.07
20210405:0010,0,0,0,-0.82,2.07
20210405:0110,0,0,0,-1.34,2
20210405:0210,0,0,0,-1.86,1.93
20210405:0310,0,0,0,-2.35,1.86
20210405:0410,0.37,7,6.24,-2.48,1.79
20210405:0510,93.08,202,15.75,0.13,1.31
20210405:0610,199.36,400,24.92,2.96,1.24
20210405:0710,284.56,564.01,33.24,5.31,1.31
20210405:0810,299.08,591.01,40.02,7.02,2.14
20210405:0910,162.88,327,44.41,7.74,2.48
20210405:1010,149.98,303,45.59,8.65,3.03
20210405:1110,261.93,519,43.3,8.92,3.17
20210405:1210,290.66,574.01,38.03,8.87,3.31
20210405:1310,188.29,376,30.66,9,3.86
20210405:1410,94.98,200,22,8.99,3.72
20210405:1510,64.21,155,12.68,8.67,2.97
20210405:1610,0.32,7,3.14,7.7,2.48
20210405:1710,0,0,0,5.92,2.69
20210405:1810,0,0,0,4.82,2.97
20210405:1910,0,0,0,4.41,3.31
20210405:2010,0,0,0,4.19,3.59
20210405:2110,0,0,0,4.13,3.93
20210405:2210,0,0,0,4.17,4.14
20210405:2310,0,0,0,4.15,4.07
20210406:0010,0,0,0,3.79,4
20210406:0110,0,0,0,3.45,3.79
20210406:0210,0,0,0,3.11,3.52
20210406:0310,0,0,0,2.9,3.31
20210406:0410,0.35,7,6.58,2.79,3.17
20210406:0510,34.73,82,16.09,3.74,2.9
20210406:0610,107.1,219,25.27,5.56,3.31
20210406:0710,165.77,331,33.6,7.81,3.45
20210406:0810,318.37,630.01,40.4,9.67,3.45
20210406:0910,346.59,692.01,44.79,11.17,3.45
20210406:1010,301.89,605.01,45.96,12.27,3.72
20210406:1110,135.54,280,43.64,12.95,3.93
20210406:1210,98.61,209,38.34,13.04,3.72
20210406:1310,93.37,199,30.94,12.92,3.17
20210406:1410,58.09,131,22.26,12.61,2
20210406:1510,12.7,39,12.92,11.65,0.34
20210406:1610,0,5,3.38,10.12,0.55
20210406:1710,0,0,0,8.18,0.76
20210406:1810,0,0,0,6.9,0.69
20210406:1910,0,0,0,5.75,1.72
20210406:2010,0,0,0,6.16,2.83
20210406:2110,0,0,0,6.2,2.83
20210406:2210,0,0,0,5.82,2.55
20210406:2310,0,0,0,5.51,2.21
20210407:0010,0,0,0,5.15,1.86
20210407:0110,0,0,0,4.62,1.66
20210407:0210,0,0,0,3.92,1.59
20210407:0310,0,0,0,3.2,2.14
20210407:0410,0.35,7,6.92,2.5,2.48
20210407:0510,10.57,33,16.43,2.14,3.03
20210407:0610,42.52,96,25.62,1.92,3.31
20210407:0710,97.61,199,33.96,3.57,3.24
20210407:0810,94.76,194,40.78,4,3.59
20210407:0910,60.73,131,45.18,4.28,4.28
20210407:1010,57.59,125,46.34,4.06,4.48
20210407:1110,78.32,163,43.99,3.45,4.55
20210407:1210,87.7,180,38.65,3.22,4.9
20210407:1310,47.75,106,31.21,2.69,4.55
20210407:1410,63.46,135,22.51,2.02,3.93
20210407:1510,10.58,33,13.16,1.93,3.59
20210407:1610,1.22,10,3.63,2.09,3.52
20210407:1710,0,0,0,1.79,2.76
20210407:1810,0,0,0,1.38,2.69
20210407:1910,0,0,0,0.87,3.31
20210407:2010,0,0,0,0.6,3.59
20210407:2110,0,0,0,0.32,3.52
20210407:2210,0,0,0,0.06,3.66
20210407:2310,0,0,0,-0.25,3.66
20210408:0010,0,0,0,-0.53,3.59
20210408:0110,0,0,0,-0.78,3.52
20210408:0210,0,0,0,-1.07,3.45
20210408:0310,0,0,0,-1.39,3.31
20210408:0410,27.36,85,7.25,-1.41,3.31
20210408:0510,115.08,246,16.77,-0.3,3.24
20210408:0610,198.02,385,25.96,1.41,4.9
20210408:0710,267.53,511.01,34.32,2.81,4.83
20210408:0810,335.99,642.01,41.15,3.97,4.9
20210408:0910,243.68,471,45.56,4.92,5.03
20210408:1010,237.95,463,46.71,5.99,4.83
20210408:1110,326.37,633.01,44.33,6.74,4.76
20210408:1210,338.21,658.01,38.95,7.32,4.48
20210408:1310,212.27,419,31.49,7.74,4.21
20210408:1410,158.32,324,22.76,7.49,4
20210408:1510,73.25,173,13.4,7.12,3.59
20210408:1610,3.68,17.82,3.87,6.09,3.1
20210408:1710,0,0,0,4.71,2.76
20210408:1810,0,0,0,3.78,2.76
20210408:1910,0,0,0,2.24,2.62
20210408:2010,0,0,0,1.51,2.69
20210408:2110,0,0,0,1.02,2.76
20210408:2210,0,0,0,0.6,2.62
20210408:2310,0,0,0,0.16,2.62
20210409:0010,0,0,0,-0.25,2.62
20210409:0110,0,0,0,-0.58,2.55
20210409:0210,0,0,0,-0.92,2.41
20210409:0310,0,0,0,-1.23,2.34
20210409:0410,11.5,35,7.58,-1.26,2.14
20210409:0510,44.72,100,17.11,0.71,2.07
20210409:0610,194.96,385,26.31,2.85,2.34
20210409:0710,296.11,579.01,34.68,5.08,2.48
20210409:0810,344.97,680.01,41.52,6.55,2.34
20210409:0910,136.77,277,45.94,7.52,2.48
20210409:1010,302.08,600.01,47.08,8.2,2.48
20210409:1110,313.32,624.01,44.67,8.82,2.41
20210409:1210,201.28,403,39.25,9.07,2.34
20210409:1310,247.91,496.01,31.76,9.07,2.34
20210409:1410,95.98,202,23.01,8.87,2.28
20210409:1510,48.8,114,13.64,8.61,2.07
20210409:1610,0.32,7,4.11,7.87,1.17
20210409:1710,0,0,0,6.16,1.03
20210409:1810,0,0,0,4.44,1.31
20210409:1910,0,0,0,2.46,1.86
20210409:2010,0,0,0,1.91,1.86
20210409:2110,0,0,0,1.53,1.93
20210409:2210,0,0,0,1.36,1.93
20210409:2310,0,0,0,0.44,2.07
20210410:0010,0,0,0,-0.17,2.07
20210410:0110,0,0,0,-0.68,2.14
20210410:0210,0,0,0,-1.13,2.28
20210410:0310,0,0,0,-1.33,2.28
20210410:0410,31.21,91,7.91,-1.11,2.14
20210410:0510,118.36,254,17.44,2.05,1.79
20210410:0610,208.94,418,26.65,5.58,2.14
20210410:0710,293.17,578.01,35.03,7.62,2.9
20210410:0810,353.69,699.01,41.89,9.29,3.59
20210410:0910,388,772.01,46.32,10.28,3.72
20210410:1010,400.66,802.01,47.45,11.05,3.66
20210410:1110,382.17,766.01,45.01,11.55,3.52
20210410:1210,337.87,677.01,39.55,11.9,3.38
20210410:1310,267.32,539.01,32.03,12.04,3.24
20210410:1410,181.32,380,23.26,11.91,2.97
20210410:1510,82.41,200,13.88,11.45,2.41
20210410:1610,4.84,21.61,4.35,10.04,2.14
20210410:1710,0,0,0,8.12,2.55
20210410:1810,0,0,0,6.79,2.69
20210410:1910,0,0,0,6.21,2.48
20210410:2010,0,0,0,4.93,2.55
20210410:2110,0,0,0,3.87,2.55
20210410:2210,0,0,0,2.97,2.48
20210410:2310,0,0,0,2.16,2.41
20210411:0010,0,0,0,1.39,2.34
20210411:0110,0,0,0,0.69,2.21
20210411:0210,0,0,0,0.09,2.14
20210411:0310,0,0,0,-0.3,2
20210411:0410,35.14,104,8.24,-0.07,1.79
20210411:0510,124.95,269,17.77,2.83,1.17
20210411:0610,213.11,431,26.98,6.77,1.24
20210411:0710,288.83,584.01,35.38,9.58,1.17
20210411:0810,345.25,709.01,42.26,11.99,1.24
20210411:0910,375.28,778.01,46.69,13.58,1.52
20210411:1010,387.64,807.01,47.81,14.32,1.66
20210411:1110,371.3,772.01,45.34,14.73,1.66
20210411:1210,327.4,676.01,39.85,14.97,1.79
20210411:1310,261.76,541.01,32.29,14.97,1.79
20210411:1410,180.45,385,23.51,14.73,1.79
20210411:1510,82.26,201,14.12,14.19,1.79
20210411:1610,5.56,23.6,4.59,12.69,1.93
20210411:1710,0,0,0,10.57,2.28
20210411:1810,0,0,0,8.65,2.34
20210411:1910,0,0,0,7.6,2.21
20210411:2010,0,0,0,5.87,2.14
20210411:2110,0,0,0,5.04,2.07
20210411:2210,0,0,0,4.18,2.07
20210411:2310,0,0,0,3.59,2
20210412:0010,0,0,0,3.27,1.93
20210412:0110,0,0,0,2.21,2.07
20210412:0210,0,0,0,1.74,2.21
20210412:0310,0,0,0,1.5,2.28
20210412:0410,30.79,84,8.57,1.72,2.07
20210412:0510,68,147,18.09,4.52,1.59
20210412:0610,159.76,324,27.32,8.18,1.93
20210412:0710,265.35,532.01,35.73,10.54,2.34
20210412:0810,287.54,580.01,42.62,11.94,2.41
20210412:0910,71.12,156,47.07,12.57,2.62
20210412:1010,98.25,208,48.17,12.17,2.76
20210412:1110,111.71,233,45.67,11.09,2.55
20210412:1210,40.25,95,40.15,10.31,2.07
20210412:1310,39.81,94,32.56,9.88,1.72
20210412:1410,74.44,161,23.75,9.76,1.79
20210412:1510,24.8,64,14.36,9.56,2.07
20210412:1610,0,4,4.83,9.1,1.86
20210412:1710,0,0,0,8.32,1.52
20210412:1810,0,0,0,7.79,1.1
20210412:1910,0,0,0,8.62,0.62
20210412:2010,0,0,0,8.54,0.69
20210412:2110,0,0,0,8.53,0.62
20210412:2210,0,0,0,7.86,0.97
20210412:2310,0,0,0,7.6,1.17
20210413:0010,0,0,0,7.41,1.31
20210413:0110,0,0,0,7.15,1.45
20210413:0210,0,0,0,7.23,1.52
20210413:0310,0,0,0,7.16,1.66
20210413:0410,0.87,9,8.89,7.28,1.72
20210413:0510,23.52,61,18.42,7.8,1.59
20210413:0610,21.48,57,27.65,8.47,1.66
20210413:0710,45.91,106,36.07,9.99,1.52
20210413:0810,90.83,193,42.98,10.76,1.79
20210413:0910,110.5,231,47.44,11.19,2.28
20210413:1010,110.93,232,48.53,11.55,2.55
20210413:1110,98.92,209,46,11.85,2.76
20210413:1210,71.89,157,40.44,11.93,2.83
20210413:1310,70.33,154,32.82,11.82,2.55
20210413:1410,39.99,95,24,11.59,1.86
20210413:1510,22.15,59,14.59,11.23,1.72
20210413:1610,1.76,12,5.06,10.77,1.45
20210413:1710,0,0,0,10.3,1.52
20210413:1810,0,0,0,9.84,1.79
20210413:1910,0,0,0,9.27,2.14
20210413:2010,0,0,0,8.96,2.34
20210413:2110,0,0,0,8.59,2.55
20210413:2210,0,0,0,8.16,2.76
20210413:2310,0,0,0,7.84,2.76
20210414:0010,0,0,0,7.55,2.76
20210414:0110,0,0,0,7.17,2.76
20210414:0210,0,0,0,6.69,2.69
20210414:0310,0,0,0,6.33,2.69
20210414:0410,1.18,10,9.21,6.48,2.62
20210414:0510,6.38,24,18.74,7.33,2.62
20210414:0610,20.09,54,27.98,7.98,2.83
20210414:0710,99.56,208,36.42,9.48,2.83
20210414:0810,256.89,514,43.34,10.57,2.76
20210414:0910,326.23,658.01,47.8,11.99,2.76
20210414:1010,349.13,710.01,48.89,13.4,2.76
20210414:1110,352.56,720.01,46.33,14.41,2.69
20210414:1210,125.35,264,40.73,15.37,2.69
20210414:1310,142.59,298,33.08,15.44,2.55
20210414:1410,48.95,114,24.24,14.83,2.62
20210414:1510,11.24,36,14.83,13.78,2.69
20210414:1610,2.07,13,5.3,12.68,2.97
20210414:1710,0,0,0,11.44,2.9
20210414:1810,0,0,0,10.74,2.69
20210414:1910,0,0,0,10.58,1.86
20210414:2010,0,0,0,9.54,1.79
20210414:2110,0,0,0,8.78,1.52
20210414:2210,0,0,0,8.32,1.17
20210414:2310,0,0,0,8.84,0.69
20210415:0010,0,0,0,8.86,0.41
20210415:0110,0,0,0,8.13,0.76
20210415:0210,0,0,0,7.46,0.83
20210415:0310,0,0,0,7.36,0.83
20210415:0410,1.16,10,9.52,7.64,0.55
20210415:0510,16.18,46,19.05,8.36,0.21
20210415:0610,95.21,202,28.3,10.16,0.41
20210415:0710,166.65,343,36.76,11.72,0.83
20210415:0810,269.1,554,43.7,12.61,0.76
20210415:0910,273.31,572,48.17,13.65,0.14
20210415:1010,164.99,346,49.25,14.01,0.14
20210415:1110,87.16,190,46.66,14.46,0.28
20210415:1210,59.84,136,41.02,14.67,0.41
20210415:1310,152.57,320,33.34,14.81,0.69
20210415:1410,69.2,154,24.48,13.78,0.55
20210415:1510,33.01,82,15.06,12.95,0.69
20210415:1610,7.69,28.59,5.54,11.89,1.38
20210415:1710,0,0,0,10.6,1.52
20210415:1810,0,0,0,9.49,1.66
20210415:1910,0,0,0,8.96,0.69
20210415:2010,0,0,0,8.2,1.1
20210415:2110,0,0,0,7.49,1.24
20210415:2210,0,0,0,6.78,1.17
20210415:2310,0,0,0,6.03,1.31
20210416:0010,0,0,0,5.95,1.66
20210416:0110,0,0,0,5.82,1.86
20210416:0210,0,0,0,6.12,1.86
20210416:0310,0,0,0,6.21,1.86
20210416:0410,1.18,10,9.84,6.53,1.66
20210416:0510,31.66,77,19.37,6.93,1.66
20210416:0610,59.54,131,28.62,7.43,1.52
20210416:0710,94.86,199,37.09,8.6,1.59
20210416:0810,58.42,130,44.05,9.37,1.17
20210416:0910,111.62,233,48.53,10.04,1.1
20210416:1010,46.73,108,49.6,10.78,1.31
20210416:1110,80.68,174,46.98,11.19,1.38
20210416:1210,31.97,79,41.31,11.41,1.72
20210416:1310,42.59,100,33.6,11.41,2.21
20210416:1410,17.88,50,24.72,10.91,2.14
20210416:1510,37.01,89,15.29,10.1,1.93
20210416:1610,7.98,29,5.77,9.41,2
20210416:1710,0,0,0,8.59,2.34
20210416:1810,0,0,0,8.04,2.41
20210416:1910,0,0,0,7.51,0.97
20210416:2010,0,0,0,6.72,0.83
20210416:2110,0,0,0,6.6,0.76
20210416:2210,0,0,0,6.62,0.83
