time,P,G(i),H_sun,T2m,WS10m
20200114:0210,0,0,0,2.44,2.21
20200114:0310,0,0,0,2.32,2.28
20200114:0410,0,0,0,2.09,2.34
20200114:0510,0,0,0,1.94,2.34
20200114:0610,0,0,0,1.9,2.34
20200114:0710,0,0,0,2.04,2.34
20200114:0810,36.35,85,13.82,2.58,2.28
20200114:0910,39.01,90,17.18,3.42,2.21
20200114:1010,42.57,97,18.23,4.05,2.41
20200114:1110,122.49,269.01,16.85,4.29,2.21
20200114:1210,83.84,203.01,13.17,4.68,2.14
20200114:1310,28.6,84,7.55,4.71,1.72
20200114:1410,0,0,0,4.08,1.45
20200114:1510,0,0,0,3.2,1.59
20200114:1610,0,0,0,2.56,1.45
20200114:1710,0,0,0,1.91,1.45
20200114:1810,0,0,0,1.17,1.52
20200114:1910,0,0,0,1.41,1.59
20200114:2010,0,0,0,1.29,1.59
20200114:2110,0,0,0,0.97,1.72
20200114:2210,0,0,0,0.95,1.86
20200114:2310,0,0,0,0.96,2
20200115:0010,0,0,0,0.87,2.14
20200115:0110,0,0,0,0.52,2.28
20200115:0210,0,0,0,0.17,2.28
20200115:0310,0,0,0,-0.08,2.41
20200115:0410,0,0,0,-0.31,2.55
20200115:0510,0,0,0,-0.51,2.69
20200115:0610,0,1,1.58,-0.57,2.62
20200115:0710,38.06,104.01,8.57,0.15,2.76
20200115:0810,88.69,202.01,13.96,1.28,3.03
20200115:0910,131.63,283.01,17.35,2.41,4
20200115:1010,140.45,297.01,18.41,3.38,4.07
20200115:1110,123.19,267.01,17.04,3.85,3.93
20200115:1210,64.11,145,13.37,4.04,3.72
20200115:1310,10.49,33,7.75,3.55,3.38
20200115:1410,0,0,0,2.48,3.52
20200115:1510,0,0,0,1.57,3.52
20200115:1610,0,0,0,1.26,3.59
20200115:1710,0,0,0,1.2,3.72
20200115:1810,0,0,0,1.09,3.79
20200115:1910,0,0,0,1.22,3.86
20200115:2010,0,0,0,1.25,3.79
20200115:2110,0,0,0,1.19,3.79
20200115:2210,0,0,0,1.22,3.72
20200115:2310,0,0,0,1.02,3.59
20200116:0010,0,0,0,0.97,3.52
20200116:0110,0,0,0,0.9,3.38
20200116:0210,0,0,0,0.93,3.52
20200116:0310,0,0,0,0.77,3.52
20200116:0410,0,0,0,0.69,3.52
20200116:0510,0,0,0,0.47,3.38
20200116:0610,0,1,1.69,0.41,3.38
20200116:0710,19.5,52,8.7,0.73,3.86
20200116:0810,33.62,79,14.11,1.06,4.28
20200116:0910,33.13,78,17.52,1.43,4.07
20200116:1010,24.79,62,18.6,1.78,3.93
20200116:1110,25.24,63,17.24,2.28,3.93
20200116:1210,11.93,36,13.58,2.61,3.66
20200116:1310,6.12,23,7.95,2.67,3.31
20200116:1410,0,0,0,2,2.69
20200116:1510,0,0,0,1.04,2.76
20200116:1610,0,0,0,0.38,2.76
20200116:1710,0,0,0,0.06,2.76
20200116:1810,0,0,0,0.06,2.69
20200116:1910,0,0,0,0.63,2.55
20200116:2010,0,0,0,0.9,2.48
20200116:2110,0,0,0,1.28,2.28
20200116:2210,0,0,0,0.83,2.41
20200116:2310,0,0,0,0.49,2.48
20200117:0010,0,0,0,0.29,2.48
20200117:0110,0,0,0,0,2.69
20200117:0210,0,0,0,-0.4,2.62
20200117:0310,0,0,0,-0.81,2.34
20200117:0410,0,0,0,-1.16,2.14
20200117:0510,0,0,0,-1.68,1.93
20200117:0610,0,2,1.81,-1.91,2
20200117:0710,27.8,70,8.84,-0.98,1.66
20200117:0810,54.38,120,14.27,0.69,1.66
20200117:0910,53.41,117,17.7,2.17,1.79
20200117:1010,56.07,122,18.79,2.53,2.28
20200117:1110,97.84,206,17.44,2.74,2.41
20200117:1210,57.91,129,13.78,2.72,2.34
20200117:1310,26.78,71,8.16,2.54,2.21
20200117:1410,0,0,0,2.19,1.52
20200117:1510,0,0,0,1.59,1.24
20200117:1610,0,0,0,1.18,1.03
20200117:1710,0,0,0,0.64,0.9
20200117:1810,0,0,0,0.77,0.69
20200117:1910,0,0,0,0.5,0.55
20200117:2010,0,0,0,0.15,0.62
20200117:2110,0,0,0,-0.33,0.83
20200117:2210,0,0,0,-0.56,1.1
20200117:2310,0,0,0,-0.46,1.1
20200118:0010,0,0,0,-0.24,1.31
20200118:0110,0,0,0,-0.16,1.52
20200118:0210,0,0,0,-0.25,1.72
20200118:0310,0,0,0,-0.23,2.07
20200118:0410,0,0,0,-0.46,2.07
20200118:0510,0,0,0,-0.55,2.34
20200118:0610,0,1,1.94,-0.66,2.76
20200118:0710,21.11,55,8.98,-0.35,3.03
20200118:0810,36.45,84,14.44,-0.2,3.17
20200118:0910,30.68,73,17.88,0.18,3.17
20200118:1010,24.41,61,18.99,0.53,3.1
20200118:1110,19.31,51,17.65,0.95,3.03
20200118:1210,10.16,32,14,1.19,2.9
20200118:1310,4.12,18,8.37,1.2,2.76
20200118:1410,0,0,0,0.9,2
20200118:1510,0,0,0,0.47,2.07
20200118:1610,0,0,0,0.38,2.21
20200118:1710,0,0,0,0.42,2.41
20200118:1810,0,0,0,0.13,2.41
20200118:1910,0,0,0,-0.48,2
20200118:2010,0,0,0,-0.53,2.07
20200118:2110,0,0,0,-0.8,1.86
20200118:2210,0,0,0,-0.86,1.72
20200118:2310,0,0,0,-0.96,1.72
20200119:0010,0,0,0,-1.1,2.07
20200119:0110,0,0,0,-1.18,1.86
20200119:0210,0,0,0,-1.41,1.79
20200119:0310,0,0,0,-1.48,1.86
20200119:0410,0,0,0,-1.59,1.93
20200119:0510,0,0,0,-1.65,1.79
20200119:0610,0,2,2.07,-1.74,1.79
20200119:0710,21.26,55,9.13,-2.01,1.17
20200119:0810,34.06,79,14.61,-1.77,1.17
20200119:0910,30.35,72,18.07,-1.59,1.24
20200119:1010,24.08,60,19.2,-1.33,1.17
20200119:1110,18.48,49,17.87,-1.14,1.03
20200119:1210,10.73,33,14.22,-1.07,0.83
20200119:1310,4.98,20,8.59,-1.1,0.55
20200119:1410,0,0,0,-1.28,0.34
20200119:1510,0,0,0,-1.3,0.41
20200119:1610,0,0,0,-1.5,0.76
20200119:1710,0,0,0,-1.84,0.83
20200119:1810,0,0,0,-1.93,0.69
20200119:1910,0,0,0,-2.25,1.31
20200119:2010,0,0,0,-2.31,1.52
20200119:2110,0,0,0,-2.43,1.72
20200119:2210,0,0,0,-2.52,2
20200119:2310,0,0,0,-2.62,2.21
20200120:0010,0,0,0,-2.67,2.21
20200120:0110,0,0,0,-2.66,2.28
20200120:0210,0,0,0,-2.58,2.41
20200120:0310,0,0,0,-2.34,2.07
20200120:0410,0,0,0,-2.11,2.14
20200120:0510,0,0,0,-1.81,2.21
20200120:0610,0,3,2.21,-1.52,2.34
20200120:0710,27.66,69,9.29,-0.65,1.79
20200120:0810,44.24,99,14.79,-0.12,2.21
20200120:0910,40.62,92,18.27,0.61,2.69
20200120:1010,55.42,120,19.42,1.51,3.45
20200120:1110,49.43,109,18.09,1.88,3.31
20200120:1210,12.44,37,14.44,2,3.52
20200120:1310,13.39,39,8.81,1.9,3.45
20200120:1410,0,0,0,1.49,3.31
20200120:1510,0,0,0,0.98,3.17
20200120:1610,0,0,0,0.93,3.24
20200120:1710,0,0,0,0.64,3.24
20200120:1810,0,0,0,0.67,3.31
20200120:1910,0,0,0,0.7,3.59
20200120:2010,0,0,0,0.69,3.72
20200120:2110,0,0,0,0.52,3.79
20200120:2210,0,0,0,0.28,3.86
20200120:2310,0,0,0,0.21,4
20200121:0010,0,0,0,0.02,4.07
20200121:0110,0,0,0,-0.06,4.14
20200121:0210,0,0,0,-0.13,4.21
20200121:0310,0,0,0,-0.23,4.28
20200121:0410,0,0,0,-0.12,4.34
20200121:0510,0,0,0,-0.06,4.48
20200121:0610,1.57,11,2.35,0.09,4.62
20200121:0710,37.69,94,9.45,0.8,4.9
20200121:0810,104.68,236.01,14.97,1.41,4.55
20200121:0910,148.45,312.01,18.48,2.19,6.55
20200121:1010,158.48,328.01,19.64,2.75,6
20200121:1110,141.32,299.01,18.32,3.23,5.86
20200121:1210,100.34,230.01,14.67,3.34,5.93
20200121:1310,43.51,127.01,9.04,3.47,5.1
20200121:1410,0,1,1.85,3.48,4.9
20200121:1510,0,0,0,3.53,5.17
20200121:1610,0,0,0,3.7,5.45
20200121:1710,0,0,0,3.94,5.72
20200121:1810,0,0,0,4.1,6.07
20200121:1910,0,0,0,4.13,6.14
20200121:2010,0,0,0,3.88,6.07
20200121:2110,0,0,0,3.48,5.86
20200121:2210,0,0,0,3.42,5.59
20200121:2310,0,0,0,3.35,5.31
20200122:0010,0,0,0,3.29,5.17
20200122:0110,0,0,0,3.3,5.1
20200122:0210,0,0,0,3.2,5.17
20200122:0310,0,0,0,3.06,5.24
20200122:0410,0,0,0,2.86,5.31
20200122:0510,0,0,0,2.69,5.31
20200122:0610,0.62,8,2.51,2.49,5.31
20200122:0710,7.84,27,9.62,2.92,5.72
20200122:0810,19.16,51,15.16,2.9,5.93
20200122:0910,16.69,46,18.69,3,6.14
20200122:1010,51.43,113,19.86,3,5.31
20200122:1110,23.66,60,18.56,2.88,5.45
20200122:1210,27.76,68,14.91,2.75,5.38
20200122:1310,35.53,90,9.27,2.74,7.03
20200122:1410,0,2,2.08,2.68,6.69
20200122:1510,0,0,0,2.56,6.34
20200122:1610,0,0,0,2.09,5.86
20200122:1710,0,0,0,1.66,6
20200122:1810,0,0,0,2.13,6.76
20200122:1910,0,0,0,1.93,6.07
20200122:2010,0,0,0,1.32,6.48
20200122:2110,0,0,0,0.79,6.14
20200122:2210,0,0,0,0.32,5.86
20200122:2310,0,0,0,0.18,5.79
20200123:0010,0,0,0,0.09,5.59
20200123:0110,0,0,0,-0.15,5.45
20200123:0210,0,0,0,-0.21,5.45
20200123:0310,0,0,0,-0.19,5.66
20200123:0410,0,0,0,-0.3,5.86
20200123:0510,0,0,0,-0.64,5.86
20200123:0610,2.27,13,2.66,-0.86,6.14
20200123:0710,53.92,148.01,9.8,-0.37,6
20200123:0810,112.49,249.01,15.36,0.09,5.31
20200123:0910,123.4,251.01,18.91,0.56,6.34
20200123:1010,87.43,179,20.09,1.26,6.83
20200123:1110,21.8,56,18.8,1.59,6.9
20200123:1210,14.39,41,15.15,1.5,5.79
20200123:1310,19.64,52,9.51,1.43,5.93
20200123:1410,0,2,2.31,1.22,5.24
20200123:1510,0,0,0,0.72,4.9
20200123:1610,0,0,0,0.46,4.55
20200123:1710,0,0,0,0.18,4.07
20200123:1810,0,0,0,-0.02,3.52
20200123:1910,0,0,0,0,3.79
20200123:2010,0,0,0,-0.32,3.31
20200123:2110,0,0,0,-0.59,3.1
20200123:2210,0,0,0,-0.61,3.38
20200123:2310,0,0,0,-0.62,3.52
20200124:0010,0,0,0,-0.52,3.45
20200124:0110,0,0,0,-0.54,3.38
20200124:0210,0,0,0,-0.54,3.52
20200124:0310,0,0,0,-0.67,3.66
20200124:0410,0,0,0,-0.78,3.79
20200124:0510,0,0,0,-0.8,4
20200124:0610,0,5,2.83,-0.9,4.14
20200124:0710,18.43,49,9.99,-0.16,4
20200124:0810,37.52,86,15.57,0.18,5.31
20200124:0910,90.63,186,19.13,0.77,5.1
20200124:1010,42.79,96,20.33,0.97,5.1
20200124:1110,46.91,104,19.04,1.58,5.1
20200124:1210,43.91,99,15.39,2.19,5.03
20200124:1310,51.37,144.01,9.75,2.25,4
20200124:1410,0,3,2.54,2.27,4.07
20200124:1510,0,0,0,1.68,4.07
20200124:1610,0,0,0,1.31,4.14
20200124:1710,0,0,0,1.01,4.14
20200124:1810,0,0,0,0.71,4.07
20200124:1910,0,0,0,0.99,4.14
20200124:2010,0,0,0,0.88,4.28
20200124:2110,0,0,0,0.8,4.34
20200124:2210,0,0,0,0.74,4.34
20200124:2310,0,0,0,0.72,4.28
20200125:0010,0,0,0,0.61,4.14
20200125:0110,0,0,0,0.66,4.07
20200125:0210,0,0,0,0.56,4.14
20200125:0310,0,0,0,0.6,4.21
20200125:0410,0,0,0,0.65,4.21
20200125:0510,0,0,0,0.69,4.21
20200125:0610,2.6,14,3,0.66,4.14
20200125:0710,43.34,106,10.18,0.9,4.21
20200125:0810,66.07,142,15.78,1.34,3.93
20200125:0910,56.99,123,19.36,1.84,4.48
20200125:1010,37.72,87,20.58,2.47,5.17
20200125:1110,19.14,51,19.29,2.97,5.1
20200125:1210,14.28,41,15.64,2.88,4.9
20200125:1310,3.31,16,9.99,2.82,4.76
20200125:1410,0,2,2.78,2.51,4.41
20200125:1510,0,0,0,2.24,4.41
20200125:1610,0,0,0,2.1,4.48
20200125:1710,0,0,0,1.88,4.41
20200125:1810,0,0,0,1.82,4.28
20200125:1910,0,0,0,1.55,3.79
